epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.234,1.6163,4.50673,1.14502,0.84536,0.1127,0.15963,0.08809,1.22191,3.67715,0.9268,0.000109827,0.000109827,0.000109827
2,42.2839,1.48967,2.93017,1.01892,0.53478,0.63824,0.58233,0.41497,1.12316,1.94055,0.93596,0.000219568,0.000219568,0.000219568
3,59.3336,1.37057,1.8739,1.01206,0.76331,0.79316,0.85265,0.57605,1.23053,1.23852,0.99013,0.000327842,0.000327842,0.000327842
4,76.8017,1.3217,1.47502,0.99703,0.85337,0.86572,0.93322,0.66919,1.02743,0.94073,0.92521,0.000434647,0.000434647,0.000434647
5,93.3816,1.28867,1.29691,1.00074,0.89988,0.88123,0.95634,0.6962,0.99509,0.8665,0.92768,0.000539985,0.000539985,0.000539985
6,111.084,1.24491,1.18954,0.99419,0.87052,0.90295,0.96485,0.69206,0.99919,0.96129,0.9229,0.000537652,0.000537652,0.000537652
7,128.087,1.20962,1.09156,0.98151,0.8987,0.92428,0.95153,0.70374,0.97682,0.78663,0.91898,0.000533982,0.000533982,0.000533982
8,144.518,1.21673,1.04564,0.98871,0.93832,0.97157,0.98148,0.69637,1.08643,0.75618,0.93415,0.000530313,0.000530313,0.000530313
9,161.128,1.19284,0.97852,0.98147,0.94137,0.96331,0.9794,0.69873,1.05998,0.74315,0.92634,0.000526643,0.000526643,0.000526643
10,178.346,1.16665,0.93752,0.96996,0.94305,0.97054,0.97468,0.72882,0.96144,0.68219,0.91523,0.000522974,0.000522974,0.000522974
11,194.88,1.18099,0.92259,0.97556,0.93446,0.95492,0.9835,0.70268,1.07665,0.71194,0.94452,0.000519304,0.000519304,0.000519304
12,211.27,1.14223,0.8677,0.96521,0.93821,0.95402,0.96886,0.71953,1.04916,0.65673,0.91898,0.000515634,0.000515634,0.000515634
13,228.642,1.13793,0.84176,0.95672,0.91855,0.94874,0.97401,0.72424,0.94999,0.67634,0.90501,0.000511965,0.000511965,0.000511965
14,245.218,1.10218,0.83347,0.95448,0.94524,0.97577,0.98403,0.73882,0.93079,0.62043,0.89612,0.000508295,0.000508295,0.000508295
15,261.863,1.09767,0.79734,0.94848,0.92352,0.97207,0.97742,0.74662,0.92351,0.61204,0.91017,0.000504626,0.000504626,0.000504626
16,279.553,1.06889,0.77153,0.94483,0.93293,0.97501,0.98128,0.72924,0.98069,0.6085,0.90381,0.000500956,0.000500956,0.000500956
