dt greska izlaz_pid
0.052756 7.639999999999986 -4.126211649586785
0.046669 7.639999999999986 -2.6815960941314647
0.052729 7.639999999999986 -2.6856246178626964
0.047673 7.639999999999986 -2.6892668522834726
0.051642 7.639999999999986 -2.693212296581263
0.050087 7.639999999999986 -2.6970389414787244
0.050544 7.639999999999986 -2.7009004684448192
0.049645 6.639999999999986 -2.1527684903747195
0.049992 6.639999999999986 -2.357516383171076
0.048639 7.639999999999986 -2.9168275002019106
0.052759 7.639999999999986 -2.7152632443427986
0.047606 6.639999999999986 -2.1583666882913155
0.048760 6.639999999999986 -2.371661942005152
0.051210 6.639999999999986 -2.3750623127937263
0.049277 6.639999999999986 -2.378334310054774
0.051161 5.639999999999986 -1.8357567521146028
0.049155 5.639999999999986 -2.0339920813560437
0.050826 5.639999999999986 -2.036858658409114
0.045083 5.639999999999986 -2.03940132875442
0.051380 5.639999999999986 -2.0422991696357675
0.056430 4.639999999999986 -1.517705621655018
0.046087 4.639999999999986 -1.697055931186671
0.049807 4.639999999999986 -1.6993669903755138
0.052299 3.6399999999999864 -1.1600607520846706
0.047406 2.6399999999999864 -0.7915771590407519
0.054149 2.6399999999999864 -1.0039517060279795
0.049047 1.6399999999999864 -0.450867990186787
0.041567 0.6399999999999864 -0.06444852768875511
0.057260 -0.36000000000001364 0.21982736169348388
0.046843 -0.36000000000001364 0.04535266962051889
0.060731 -1.3600000000000136 0.5608393411550965
0.046764 -2.3600000000000136 0.9611213307080979
0.048638 -3.3600000000000136 1.3045175978073316
0.046885 -4.360000000000014 1.6642495072082812
0.048333 -4.360000000000014 1.4530679577827503
0.055434 -5.360000000000014 1.9864324342094892
0.046753 -6.360000000000014 2.3729019953083323
0.049789 -7.360000000000014 2.7135230959530197
0.040814 -7.360000000000014 2.5156811357498214
0.061903 -8.360000000000014 3.03239928616063
0.047403 -9.360000000000014 3.4362498364952767
0.050219 -9.360000000000014 3.2299936157226616
0.047099 -10.360000000000014 3.797191305271862
0.051982 -10.360000000000014 3.59025843610764
0.049371 -10.360000000000014 3.595373321533208
0.061311 -11.360000000000014 4.115441103442222
0.041476 -12.360000000000014 4.5485706229553795
0.048074 -13.360000000000014 4.871901931558918
0.051855 -14.360000000000014 5.214177899476911
0.047740 -17.360000000000014 6.708031614418435
