dt greska izlaz_pid
0.067152 4.639999999999986 -1.627115831756587
0.067466 4.639999999999986 -1.6302462551116896
0.058140 4.639999999999986 -1.6329439640045118
0.060291 4.639999999999986 -1.6357414688110303
0.059869 4.639999999999986 -1.6385193706512402
0.056730 4.639999999999986 -1.6411516441345166
0.063032 4.639999999999986 -1.6440763359069777
0.059921 4.639999999999986 -1.646856682586665
0.069988 3.6399999999999864 -1.299404246234889
0.050335 2.6399999999999864 -0.9507330946922252
0.065958 1.6399999999999864 -0.6018148062705945
0.059938 -1.3600000000000136 0.4490003563880969
0.065373 -2.3600000000000136 0.8005431578636217
0.049333 -4.360000000000014 1.502694070434575
0.068174 -5.360000000000014 1.8563481779098556
0.058262 -8.360000000000014 2.9112188902854967
0.060602 -11.360000000000014 3.968103325939183
0.079054 -14.360000000000014 5.029455428695684
0.041321 -18.360000000000014 6.437041971492772
0.067368 -21.360000000000014 7.501431680965428
0.056172 -23.360000000000014 8.214553379726414
0.054822 -22.360000000000014 7.876811571788791
0.057281 -20.360000000000014 7.188474035453801
0.055233 -18.360000000000014 6.498614727020268
0.058949 -15.360000000000014 5.457669219207769
0.051827 -13.360000000000014 4.764593363952641
0.066059 -11.360000000000014 4.072097624969487
0.041720 -7.360000000000014 2.6751682106018113
0.064369 -3.3600000000000136 1.2773310157775926
0.043192 -0.36000000000001364 0.22748650579453017
0.066563 2.6399999999999864 -0.9257572666168165
0.039863 4.639999999999986 -1.6276069259643506
0.062702 7.639999999999986 -2.6823973360061597
0.048691 9.639999999999986 -3.3870911287307695
0.060176 12.639999999999986 -4.444697361946101
0.057751 12.639999999999986 -4.451997110939021
0.050047 13.639999999999986 -4.808823478412623
0.054983 14.639999999999986 -5.166872975063319
0.048066 13.639999999999986 -4.823429196453089
0.055842 11.639999999999986 -4.1299292517662005
0.055691 10.639999999999986 -3.785854749202723
0.064569 9.639999999999986 -3.4420791544914198
0.050568 8.639999999999986 -3.096448259258265
0.049048 5.639999999999986 -2.0492145634651133
0.059123 3.6399999999999864 -1.3513666507720896
0.054802 -0.36000000000001364 0.048830635356907966
0.060280 -1.3600000000000136 0.39965044450760373
0.055059 -5.360000000000014 1.8026015917778062
0.065016 -11.360000000000014 3.90998744001389
0.041224 -24.360000000000014 8.470029549026492
0.072209 -32.360000000000014 11.293396497344974
0.042263 -36.360000000000014 12.708763248729712
0.052164 -40.360000000000014 14.129816670513156
0.063132 -45.360000000000014 15.908453367328647
0.051576 -54.360000000000014 19.08649002609253
0.067623 -65.36000000000001 22.980688509368903
0.055438 -75.36000000000001 25
0.058151 -84.36000000000001 25
0.057834 -86.36000000000001 25
0.066831 -96.36000000000001 25
0.058822 -97.36000000000001 25
0.060099 -95.36000000000001 25
0.070003 -91.36000000000001 25
0.043740 -88.36000000000001 24.297584890854875
0.063579 -85.36000000000001 23.3018555886393
0.067218 -71.36000000000001 18.44982240001015
0.059669 -59.360000000000014 14.285242070496599
0.066692 -46.360000000000014 9.76616042395882
0.052619 -33.360000000000014 5.233714115822834
0.059173 -27.360000000000014 3.1499039431696363
0.076725 -14.360000000000014 -1.3890783459538991
0.051863 0.6399999999999864 -6.639410268866496
0.064053 8.639999999999986 -9.444944453131633
0.051327 24.639999999999986 -15.057591306006389
0.062657 34.639999999999986 -18.579295566451027
0.067196 44.639999999999986 -22.109292025649026
0.055686 47.639999999999986 -23.18582072104164
0.061171 48.639999999999986 -23.565574206149055
0.059623 50.639999999999986 -24.295767415606452
0.055091 62.639999999999986 -25
0.066392 64.63999999999999 -25
0.051013 66.63999999999999 -25
0.072689 65.63999999999999 -25
0.045680 62.639999999999986 -25
0.064083 58.639999999999986 -23.776356390545345
0.068513 52.639999999999986 -21.71242184083221
0.043851 47.639999999999986 -19.983312295410613
0.072704 41.639999999999986 -17.913586272976378
0.050321 24.639999999999986 -11.975985392544246
0.064183 11.639999999999986 -7.433456293365933
0.059793 0.6399999999999864 -3.5838389685368313
0.055489 -8.360000000000014 -0.42920010277984283
0.066068 -13.360000000000014 1.3296265413546788
0.051039 -19.360000000000014 3.439507734134219
0.070426 -23.360000000000014 4.855959300448916
0.052218 -29.360000000000014 6.971290423610231
0.058702 -33.360000000000014 8.390873567225954
0.076153 -42.360000000000014 11.573131893947146
0.047335 -55.360000000000014 16.149336367824098
0.066172 -63.360000000000014 18.991262873866578
0.068386 -70.36000000000001 21.489379486014865
0.050978 -72.36000000000001 22.226267472293397
0.065687 -72.36000000000001 22.27379888794663
0.054327 -72.36000000000001 22.31311008570435
0.066445 -70.36000000000001 21.659860531165624
0.056717 -67.36000000000001 20.648065368964694
0.061795 -63.360000000000014 19.287218829658052
0.065750 -53.360000000000014 15.822303222014924
0.048122 -49.360000000000014 17.299753101921084
0.071175 -43.360000000000014 15.230614417839055
0.051264 -20.360000000000014 7.191051729393009
0.065641 -12.360000000000014 4.399164947891239
0.073604 5.639999999999986 -1.9049863237380933
0.045478 20.639999999999986 -7.1643729063034005
0.068647 33.639999999999986 -11.737465726089471
0.059080 47.639999999999986 -16.665611383533474
0.053467 55.639999999999986 -19.495360574626915
0.073420 60.639999999999986 -21.289882491588585
0.044093 68.63999999999999 -24.120147690105433
0.075219 71.63999999999999 -25
0.054857 76.63999999999999 -25
0.057972 80.63999999999999 -25
0.071754 91.63999999999999 -25
0.048196 79.63999999999999 -24.64646434602327
0.065980 67.63999999999999 -20.491093350597087
0.063418 51.639999999999986 -14.92384223699159
0.053793 33.639999999999986 -8.641938106342023
0.069005 29.639999999999986 -7.262391262717909
0.045819 27.639999999999986 -6.57505558061189
0.068254 37.639999999999986 -10.100746473689739
0.058733 40.639999999999986 -11.17461575316972
0.054981 47.639999999999986 -13.650808925529187
0.071632 51.639999999999986 -15.087799643035595
0.050088 78.63999999999999 -24.577188602729503
0.062979 72.63999999999999 -22.522936535926522
0.068452 68.63999999999999 -21.16992190732545
0.047774 65.63999999999999 -20.15128081111497
0.073621 63.639999999999986 -19.498132934089366
0.051954 61.639999999999986 -18.83015739879197
