epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,76.5045,1.05442,0.74378,0.97421,0.99167,1,0.995,0.65862,1.29528,0.75824,1.01563,0.0011684,0.0011684,0.0011684
44,77.9926,0.97659,0.69452,0.97689,0.93029,1,0.9825,0.71742,0.95097,0.68859,0.9178,0.0011486,0.0011486,0.0011486
45,79.4386,1.02628,0.68499,0.94748,0.97287,1,0.995,0.76719,1.04524,0.65767,0.93014,0.0011288,0.0011288,0.0011288
46,80.9244,1.13607,0.68967,0.98465,0.98856,1,0.995,0.73026,1.10522,0.66888,0.94351,0.001109,0.001109,0.001109
47,82.3546,1.03197,0.6569,0.99013,0.99054,1,0.995,0.75122,0.97797,0.60248,0.94126,0.0010892,0.0010892,0.0010892
48,84.4845,1.04638,0.70807,1.01313,1,0.95142,0.995,0.69749,1.12098,0.63542,0.95333,0.0010694,0.0010694,0.0010694
49,86.0157,1.04619,0.66474,0.9577,0.9891,0.93333,0.985,0.65576,1.04319,0.60338,0.94289,0.0010496,0.0010496,0.0010496
50,87.4751,1.05258,0.66378,0.95841,1,0.98272,0.995,0.73421,0.92671,0.58975,0.92772,0.0010298,0.0010298,0.0010298
51,88.9414,1.01742,0.66447,0.95925,0.96806,0.93333,0.99125,0.72054,1.07671,0.61008,0.96004,0.00101,0.00101,0.00101
52,90.4067,1.0341,0.67643,0.96714,0.98844,1,0.995,0.71473,1.0275,0.58688,0.94745,0.0009902,0.0009902,0.0009902
53,91.8496,1.01485,0.66092,0.96902,0.9925,1,0.995,0.69568,1.07272,0.5754,0.95128,0.0009704,0.0009704,0.0009704
54,93.2948,0.92663,0.60159,0.94532,0.99774,1,0.995,0.66016,1.43349,0.64337,1.09075,0.0009506,0.0009506,0.0009506
55,94.7119,1.05563,0.66887,0.97957,1,0.99321,0.995,0.69232,1.24869,0.67544,1.03193,0.0009308,0.0009308,0.0009308
56,96.8407,1.01,0.63122,0.98396,0.9966,1,0.995,0.7371,1.07831,0.60491,0.93994,0.000911,0.000911,0.000911
57,98.4172,0.95937,0.64567,0.95065,0.99621,1,0.995,0.68627,1.15486,0.62293,0.94988,0.0008912,0.0008912,0.0008912
58,99.8608,0.97918,0.66485,0.95961,0.99087,1,0.995,0.69817,1.12655,0.61163,0.95983,0.0008714,0.0008714,0.0008714
59,101.292,1.01998,0.64247,0.95086,0.99259,1,0.995,0.70701,1.07934,0.60284,0.94937,0.0008516,0.0008516,0.0008516
60,102.754,0.99615,0.62894,0.96421,0.99367,1,0.995,0.62795,1.29299,0.76875,1.05082,0.0008318,0.0008318,0.0008318
61,104.206,0.91041,0.60903,0.9678,0.99245,1,0.995,0.69957,1.10059,0.62684,0.95987,0.000812,0.000812,0.000812
62,105.674,1.00599,0.6154,0.9903,0.99185,1,0.995,0.76415,0.91344,0.57985,0.89105,0.0007922,0.0007922,0.0007922
63,107.126,1.0491,0.62749,0.97671,0.992,1,0.995,0.70356,1.0228,0.60277,0.9095,0.0007724,0.0007724,0.0007724
64,109.266,0.96019,0.59265,0.94517,0.99746,1,0.995,0.64027,1.17896,0.629,0.95432,0.0007526,0.0007526,0.0007526
65,110.874,1.0167,0.65895,0.97443,0.99477,1,0.995,0.64641,1.01486,0.58692,0.9301,0.0007328,0.0007328,0.0007328
66,112.404,0.91551,0.5803,0.9253,0.98107,1,0.995,0.70788,1.02374,0.57721,0.91875,0.000713,0.000713,0.000713
67,113.848,0.99583,0.57368,0.92552,0.98764,1,0.995,0.69709,1.02904,0.59716,0.9221,0.0006932,0.0006932,0.0006932
68,115.285,0.9505,0.59957,0.95661,0.96867,1,0.995,0.70635,0.9396,0.60106,0.90971,0.0006734,0.0006734,0.0006734
69,116.697,0.86453,0.57689,0.92198,1,0.99687,0.995,0.69257,0.97762,0.60832,0.91645,0.0006536,0.0006536,0.0006536
70,118.177,0.91151,0.57694,0.94551,0.86968,1,0.94981,0.64199,1.06942,0.65183,0.93387,0.0006338,0.0006338,0.0006338
71,119.61,0.9142,0.57857,0.92055,0.86371,1,0.93799,0.62426,1.03872,0.63768,0.9492,0.000614,0.000614,0.000614
72,121.676,0.93797,0.58804,0.95458,0.93396,0.86667,0.98033,0.67374,0.99911,0.60491,0.93969,0.0005942,0.0005942,0.0005942
73,123.301,0.86718,0.53997,0.92517,1,0.99931,0.995,0.68082,1.04893,0.60631,0.9407,0.0005744,0.0005744,0.0005744
74,124.745,0.86926,0.56095,0.94812,0.99418,1,0.995,0.69396,1.02867,0.56522,0.92843,0.0005546,0.0005546,0.0005546
75,126.187,0.87076,0.52741,0.92098,0.99244,1,0.995,0.74584,0.96713,0.52701,0.91832,0.0005348,0.0005348,0.0005348
76,127.641,0.82805,0.55101,0.90789,0.99083,1,0.995,0.7491,0.98185,0.50905,0.92208,0.000515,0.000515,0.000515
77,129.099,0.87249,0.55925,0.91991,0.99085,1,0.995,0.72829,1.06156,0.51933,0.93932,0.0004952,0.0004952,0.0004952
78,130.527,0.80584,0.53807,0.88837,0.99276,1,0.995,0.75079,0.95759,0.51286,0.92401,0.0004754,0.0004754,0.0004754
79,131.941,0.89993,0.55951,0.93427,0.99317,1,0.995,0.75995,0.9091,0.4953,0.91083,0.0004556,0.0004556,0.0004556
80,134.049,0.84127,0.53933,0.915,0.99372,1,0.995,0.74469,0.98019,0.49888,0.9183,0.0004358,0.0004358,0.0004358
81,135.676,0.82158,0.53106,0.92954,0.99233,1,0.995,0.72141,0.99109,0.51508,0.91538,0.000416,0.000416,0.000416
82,137.154,0.80747,0.50356,0.91045,0.99148,1,0.995,0.72487,0.93754,0.51334,0.90678,0.0003962,0.0003962,0.0003962
83,138.631,0.83319,0.52029,0.91525,0.99292,1,0.995,0.72359,0.94197,0.50825,0.91031,0.0003764,0.0003764,0.0003764
84,140.076,0.7845,0.50976,0.88603,0.99411,1,0.995,0.73963,0.91653,0.49872,0.9072,0.0003566,0.0003566,0.0003566
85,141.528,0.81543,0.52692,0.92147,0.99411,1,0.995,0.75062,0.90653,0.48879,0.90107,0.0003368,0.0003368,0.0003368
86,142.992,0.80145,0.51705,0.90704,0.99405,1,0.995,0.76083,0.88487,0.46948,0.89425,0.000317,0.000317,0.000317
87,144.427,0.80371,0.52498,0.91255,0.99321,1,0.995,0.72314,0.88432,0.46887,0.89287,0.0002972,0.0002972,0.0002972
88,146.655,0.75485,0.48804,0.88418,0.98878,1,0.995,0.74697,0.92063,0.4919,0.89733,0.0002774,0.0002774,0.0002774
89,148.152,0.79432,0.51883,0.90099,0.98414,1,0.995,0.73681,0.96443,0.51961,0.90244,0.0002576,0.0002576,0.0002576
90,149.604,0.81995,0.51719,0.8749,0.98553,1,0.995,0.74724,0.98351,0.54282,0.90424,0.0002378,0.0002378,0.0002378
91,152.02,0.76267,0.50197,0.92962,0.98982,1,0.995,0.76597,0.98359,0.54541,0.90468,0.000218,0.000218,0.000218
92,153.616,0.75607,0.49569,0.92264,0.93384,1,0.995,0.77092,0.93062,0.54962,0.89217,0.0001982,0.0001982,0.0001982
93,155.023,0.67728,0.46919,0.86965,0.93179,1,0.995,0.80346,0.89331,0.53495,0.88509,0.0001784,0.0001784,0.0001784
94,156.484,0.77105,0.48739,0.9323,0.94885,1,0.995,0.78268,0.86387,0.52794,0.88369,0.0001586,0.0001586,0.0001586
95,158.462,0.70522,0.45964,0.90791,0.98269,1,0.995,0.78214,0.8561,0.5107,0.88373,0.0001388,0.0001388,0.0001388
96,160.126,0.71852,0.46507,0.8868,0.99285,1,0.995,0.76308,0.88619,0.4979,0.88308,0.000119,0.000119,0.000119
97,161.49,0.64589,0.44417,0.87715,0.99397,1,0.995,0.75691,0.90607,0.48039,0.88863,9.92e-05,9.92e-05,9.92e-05
98,162.893,0.67008,0.4357,0.88156,0.99377,1,0.995,0.76848,0.91166,0.47422,0.892,7.94e-05,7.94e-05,7.94e-05
99,164.246,0.67278,0.45252,0.88087,0.99363,1,0.995,0.75378,0.91485,0.46868,0.89386,5.96e-05,5.96e-05,5.96e-05
100,165.639,0.68694,0.46862,0.87944,0.99145,1,0.995,0.73153,0.91504,0.47113,0.89644,3.98e-05,3.98e-05,3.98e-05
