epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,289.685,0.00606,0.55572,0.98379,0.91841,0.99426,0.98469,0.73963,0.0057,0.46671,1.04149,0.000478318,0.000478318,0.000478318
44,295.345,0.00626,0.57167,0.99587,0.96282,0.95776,0.98469,0.74473,0.0057,0.46942,1.04299,0.000471397,0.000471397,0.000471397
45,303.062,0.00605,0.54092,0.98716,0.94789,1,0.98469,0.7531,0.00596,0.47393,1.05218,0.000464476,0.000464476,0.000464476
46,308.52,0.00601,0.55141,0.9932,0.95439,1,0.98469,0.76463,0.005,0.45595,0.99442,0.000457555,0.000457555,0.000457555
47,315.593,0.00597,0.53586,0.97674,0.94408,1,0.98469,0.77123,0.00501,0.44218,1.00739,0.000450634,0.000450634,0.000450634
48,321.813,0.00592,0.53669,0.98277,0.9316,0.996,0.98469,0.73274,0.00515,0.44204,1.0242,0.000443713,0.000443713,0.000443713
49,327.335,0.00594,0.54021,0.97512,0.96918,0.95358,0.98469,0.7375,0.00547,0.44447,1.06284,0.000436792,0.000436792,0.000436792
50,335.047,0.00582,0.52055,0.97774,0.95331,0.95833,0.98469,0.75556,0.00552,0.44698,1.02948,0.000429871,0.000429871,0.000429871
51,340.475,0.00583,0.53152,0.97336,0.94669,0.96564,0.98469,0.74903,0.0051,0.43044,1.01226,0.00042295,0.00042295,0.00042295
52,347.652,0.00588,0.534,0.97467,0.97297,0.95833,0.98469,0.74997,0.00521,0.41438,1.05102,0.000416029,0.000416029,0.000416029
53,353.699,0.00573,0.50881,0.97484,0.94093,0.99486,0.98469,0.75699,0.0054,0.43411,1.02792,0.000409108,0.000409108,0.000409108
54,359.36,0.00552,0.50072,0.96029,0.9361,0.99315,0.98469,0.73872,0.0055,0.42302,1.0347,0.000402187,0.000402187,0.000402187
55,366.547,0.00587,0.51737,0.98071,0.94484,0.96531,0.98469,0.75395,0.00509,0.44969,1.00358,0.000395266,0.000395266,0.000395266
56,372.057,0.00586,0.51437,0.97431,0.94812,0.96883,0.97437,0.75754,0.00524,0.44302,1.00472,0.000388345,0.000388345,0.000388345
57,379.488,0.00569,0.50092,0.95325,0.94466,0.97176,0.98469,0.74959,0.00466,0.4149,1.00188,0.000381424,0.000381424,0.000381424
58,385.23,0.00578,0.5189,0.97351,0.94512,1,0.98469,0.75689,0.00496,0.44552,1.01854,0.000374503,0.000374503,0.000374503
59,390.849,0.00543,0.48014,0.95429,0.94425,0.96066,0.98469,0.73469,0.00543,0.47411,1.02203,0.000367582,0.000367582,0.000367582
60,398.306,0.00567,0.50631,0.951,0.95372,1,0.98469,0.78579,0.00514,0.42269,0.99595,0.000360661,0.000360661,0.000360661
61,403.844,0.00576,0.50048,0.95632,0.95237,0.99962,0.98469,0.74326,0.00535,0.43519,1.02001,0.00035374,0.00035374,0.00035374
62,411.166,0.00558,0.49035,0.96322,0.95198,1,0.98469,0.77176,0.00493,0.42669,1.0059,0.000346819,0.000346819,0.000346819
63,416.787,0.00547,0.4763,0.966,0.94296,1,0.98469,0.78638,0.00475,0.39398,0.99896,0.000339898,0.000339898,0.000339898
64,422.713,0.00536,0.47202,0.94977,0.95501,1,0.98469,0.77069,0.00478,0.39554,1.00508,0.000332977,0.000332977,0.000332977
65,430.031,0.0052,0.45581,0.95111,0.94983,1,0.98469,0.76655,0.00495,0.38269,1.0303,0.000326056,0.000326056,0.000326056
66,436.795,0.00562,0.47952,0.96103,0.94242,1,0.98469,0.72771,0.00522,0.3994,1.04319,0.000319135,0.000319135,0.000319135
67,445.317,0.00563,0.47559,0.96755,0.95138,1,0.98469,0.76322,0.00524,0.3934,1.03102,0.000312214,0.000312214,0.000312214
68,450.795,0.00538,0.46011,0.95159,0.93715,0.99597,0.98469,0.79971,0.00488,0.40126,1.00328,0.000305293,0.000305293,0.000305293
69,457.402,0.00546,0.47136,0.96289,0.9552,1,0.98469,0.76513,0.0051,0.41063,1.01686,0.000298372,0.000298372,0.000298372
70,463.621,0.00548,0.46637,0.96147,0.96831,1,0.995,0.7821,0.00524,0.39048,1.01152,0.000291451,0.000291451,0.000291451
71,468.948,0.00538,0.46738,0.96476,0.95838,1,0.995,0.79594,0.00491,0.37355,0.98724,0.00028453,0.00028453,0.00028453
72,476.303,0.00552,0.47151,0.95501,0.95413,1,0.98469,0.79802,0.0048,0.3817,1.01044,0.000277609,0.000277609,0.000277609
73,481.799,0.00513,0.44735,0.93108,0.95549,1,0.98469,0.76793,0.00498,0.38325,1.0188,0.000270688,0.000270688,0.000270688
74,488.634,0.00523,0.45297,0.94228,0.95896,1,0.995,0.77385,0.00521,0.40592,1.0198,0.000263767,0.000263767,0.000263767
75,494.884,0.00504,0.4351,0.92632,0.94702,1,0.98469,0.79714,0.00486,0.37901,1.0072,0.000256846,0.000256846,0.000256846
76,500.28,0.00515,0.44669,0.93641,0.95675,1,0.995,0.7927,0.0047,0.3801,1.00075,0.000249925,0.000249925,0.000249925
77,507.528,0.0051,0.44192,0.93664,0.95199,1,0.995,0.79592,0.00476,0.38701,0.99331,0.000243004,0.000243004,0.000243004
78,512.925,0.00503,0.43356,0.93215,0.94695,0.9984,0.98469,0.79106,0.00483,0.37413,0.99719,0.000236083,0.000236083,0.000236083
79,520.057,0.00518,0.44316,0.9352,0.95708,1,0.98469,0.78123,0.00472,0.36697,0.98855,0.000229162,0.000229162,0.000229162
80,526.064,0.00484,0.42489,0.93249,0.95083,0.99962,0.98469,0.75775,0.00487,0.37527,1.00808,0.000222241,0.000222241,0.000222241
81,531.493,0.0052,0.43623,0.94549,0.94665,0.99707,0.98469,0.79228,0.00454,0.37022,0.99061,0.00021532,0.00021532,0.00021532
82,538.635,0.00504,0.43064,0.92469,0.95645,1,0.98469,0.77444,0.00472,0.37846,1.00334,0.000208399,0.000208399,0.000208399
83,544.042,0.00484,0.41998,0.93639,0.94921,0.9987,0.995,0.78829,0.00471,0.37688,0.99413,0.000201478,0.000201478,0.000201478
84,551.033,0.00496,0.43062,0.93513,0.95783,0.9989,0.98469,0.79163,0.00458,0.35721,0.98556,0.000194557,0.000194557,0.000194557
85,557.072,0.00485,0.41179,0.91359,0.95372,1,0.98469,0.7969,0.00452,0.35681,0.98347,0.000187636,0.000187636,0.000187636
86,562.524,0.00501,0.42029,0.92999,0.95942,1,0.98469,0.77875,0.00492,0.36971,1.00094,0.000180715,0.000180715,0.000180715
87,570.025,0.00473,0.41538,0.90563,0.96149,1,0.98469,0.7988,0.0045,0.36088,0.98465,0.000173794,0.000173794,0.000173794
88,575.402,0.00503,0.43111,0.92488,0.95844,1,0.98469,0.79116,0.00476,0.35915,0.98388,0.000166873,0.000166873,0.000166873
89,582.246,0.00499,0.41822,0.93218,0.95673,1,0.995,0.81847,0.00443,0.35165,0.97926,0.000159952,0.000159952,0.000159952
90,588.459,0.00498,0.4303,0.9242,0.95793,1,0.995,0.78748,0.00462,0.34635,0.97874,0.000153031,0.000153031,0.000153031
91,594.386,0.00475,0.41388,0.9402,0.95289,1,0.995,0.80117,0.00455,0.35527,0.98008,0.00014611,0.00014611,0.00014611
92,602.273,0.00477,0.41704,0.93432,0.95643,0.99702,0.995,0.7827,0.00479,0.36718,1.00112,0.000139189,0.000139189,0.000139189
93,607.592,0.00451,0.40129,0.92858,0.94685,1,0.98469,0.75442,0.00521,0.38905,1.03922,0.000132268,0.000132268,0.000132268
94,614.148,0.00469,0.40017,0.92877,0.95457,1,0.97437,0.77115,0.00479,0.37024,1.0051,0.000125347,0.000125347,0.000125347
95,620.525,0.0043,0.38111,0.91242,0.95621,1,0.98469,0.78465,0.00466,0.35558,0.99371,0.000118426,0.000118426,0.000118426
96,625.731,0.00438,0.37896,0.91946,0.95509,1,0.98469,0.7871,0.00474,0.35924,1.00145,0.000111505,0.000111505,0.000111505
97,633.288,0.00426,0.381,0.91498,0.9516,1,0.98469,0.79168,0.00466,0.3477,0.99745,0.000104584,0.000104584,0.000104584
98,638.642,0.00434,0.3832,0.91381,0.95637,1,0.98469,0.79248,0.00465,0.34647,0.99048,9.7663e-05,9.7663e-05,9.7663e-05
99,643.933,0.00424,0.36986,0.91516,0.95874,1,0.98469,0.80496,0.00451,0.34762,0.97284,9.0742e-05,9.0742e-05,9.0742e-05
100,651.403,0.00427,0.37626,0.90499,0.95281,1,0.98469,0.80125,0.00453,0.34205,0.9761,8.3821e-05,8.3821e-05,8.3821e-05
