epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,751.22,0.90004,0.58913,0.91239,0.96891,0.98593,0.98664,0.76394,0.86605,0.48405,0.87707,0.000405546,0.000405546,0.000405546
43,768.407,0.91722,0.59161,0.905,0.96143,0.98859,0.98406,0.78182,0.80995,0.47368,0.86916,0.000401877,0.000401877,0.000401877
44,785.527,0.90553,0.58587,0.91078,0.95392,0.98911,0.98449,0.79412,0.78476,0.4609,0.86601,0.000398207,0.000398207,0.000398207
45,803.819,0.93458,0.58454,0.90837,0.95959,0.98271,0.98382,0.77741,0.81691,0.4882,0.87332,0.000394538,0.000394538,0.000394538
46,821.035,0.8978,0.57555,0.90731,0.96878,0.98576,0.9832,0.77127,0.84128,0.4666,0.87801,0.000390868,0.000390868,0.000390868
47,838.205,0.90044,0.57103,0.90891,0.96012,0.98601,0.98491,0.78432,0.8017,0.46248,0.86935,0.000387198,0.000387198,0.000387198
48,856.275,0.90579,0.58141,0.90433,0.96749,0.98724,0.98801,0.78803,0.81319,0.44837,0.87309,0.000383529,0.000383529,0.000383529
49,873.533,0.8838,0.55126,0.89969,0.95793,0.98685,0.98354,0.78324,0.83672,0.46259,0.8744,0.000379859,0.000379859,0.000379859
50,891.397,0.87775,0.55236,0.90209,0.94401,0.98821,0.99087,0.8012,0.7911,0.45601,0.86379,0.00037619,0.00037619,0.00037619
51,908.63,0.89304,0.57104,0.90348,0.95967,0.98478,0.98428,0.79467,0.81347,0.44491,0.87037,0.00037252,0.00037252,0.00037252
52,925.73,0.87138,0.5546,0.90049,0.96049,0.9925,0.98766,0.78135,0.81092,0.45353,0.86968,0.00036885,0.00036885,0.00036885
53,944.316,0.874,0.55149,0.89698,0.95019,0.98865,0.98153,0.78594,0.82298,0.46694,0.86736,0.000365181,0.000365181,0.000365181
54,962.362,0.86442,0.54335,0.89977,0.96836,0.99299,0.98467,0.78188,0.80983,0.44066,0.86822,0.000361511,0.000361511,0.000361511
55,979.985,0.86712,0.55477,0.8956,0.95687,0.99235,0.98422,0.78401,0.82249,0.45129,0.87352,0.000357842,0.000357842,0.000357842
56,998.187,0.89678,0.56628,0.90673,0.94932,0.99242,0.98443,0.78607,0.81396,0.4509,0.86686,0.000354172,0.000354172,0.000354172
57,1015.61,0.87773,0.55512,0.89862,0.96034,0.99262,0.98557,0.79741,0.79158,0.43819,0.873,0.000350502,0.000350502,0.000350502
58,1033.73,0.86372,0.53623,0.8979,0.95921,0.98996,0.98614,0.78915,0.79699,0.44064,0.86575,0.000346833,0.000346833,0.000346833
59,1051.06,0.86854,0.52751,0.89794,0.95306,0.98846,0.98713,0.78925,0.79965,0.43522,0.86781,0.000343163,0.000343163,0.000343163
60,1068.22,0.84269,0.5361,0.88722,0.95711,0.99536,0.98854,0.7919,0.794,0.44172,0.8638,0.000339494,0.000339494,0.000339494
61,1086.41,0.87117,0.54369,0.91047,0.96689,0.97818,0.98454,0.77942,0.80855,0.43804,0.87141,0.000335824,0.000335824,0.000335824
62,1103.9,0.85083,0.52647,0.89528,0.96216,0.98937,0.98726,0.78737,0.80045,0.43346,0.86453,0.000332154,0.000332154,0.000332154
63,1121.11,0.85654,0.5272,0.88996,0.97294,0.97907,0.98456,0.78904,0.7924,0.43241,0.86054,0.000328485,0.000328485,0.000328485
64,1139.34,0.84639,0.52705,0.88674,0.96601,0.98994,0.98678,0.78657,0.7946,0.43422,0.86884,0.000324815,0.000324815,0.000324815
65,1156.57,0.84407,0.52705,0.89683,0.96388,0.9892,0.98546,0.78682,0.7854,0.42217,0.86169,0.000321146,0.000321146,0.000321146
66,1174.2,0.82213,0.50497,0.89281,0.96976,0.99465,0.98996,0.79926,0.78173,0.41445,0.86023,0.000317476,0.000317476,0.000317476
67,1191.85,0.83331,0.51632,0.88709,0.97067,0.99205,0.98822,0.80022,0.80079,0.42846,0.86885,0.000313806,0.000313806,0.000313806
68,1209.14,0.83153,0.50783,0.88494,0.97732,0.98145,0.98714,0.80096,0.76701,0.41627,0.86212,0.000310137,0.000310137,0.000310137
69,1227.57,0.83642,0.51779,0.88474,0.96841,0.98658,0.98347,0.7987,0.76642,0.41698,0.85583,0.000306467,0.000306467,0.000306467
70,1244.6,0.85229,0.51478,0.89263,0.97295,0.98993,0.9855,0.80267,0.77133,0.42114,0.86035,0.000302798,0.000302798,0.000302798
71,1261.33,0.82618,0.50255,0.88714,0.96869,0.98663,0.98446,0.80176,0.78051,0.41852,0.85798,0.000299128,0.000299128,0.000299128
72,1279.04,0.80894,0.49483,0.8812,0.9734,0.97967,0.98093,0.804,0.77321,0.42518,0.86222,0.000295458,0.000295458,0.000295458
73,1295.74,0.81636,0.49626,0.87736,0.97722,0.98953,0.98707,0.80992,0.77135,0.41207,0.86574,0.000291789,0.000291789,0.000291789
74,1312.43,0.82482,0.50333,0.88388,0.95446,0.98423,0.98494,0.79483,0.78095,0.42295,0.86384,0.000288119,0.000288119,0.000288119
75,1330.07,0.813,0.49184,0.88402,0.96445,0.9859,0.98479,0.80329,0.76456,0.4149,0.8593,0.00028445,0.00028445,0.00028445
76,1346.7,0.81128,0.49233,0.88179,0.96964,0.98989,0.98635,0.80169,0.77372,0.40958,0.86182,0.00028078,0.00028078,0.00028078
77,1363.55,0.80497,0.4988,0.88556,0.97753,0.99133,0.98625,0.80129,0.77712,0.39625,0.86238,0.00027711,0.00027711,0.00027711
78,1381.43,0.80562,0.49807,0.88476,0.97451,0.99133,0.98758,0.81045,0.77076,0.40983,0.86207,0.000273441,0.000273441,0.000273441
79,1398.15,0.79841,0.48092,0.88168,0.9711,0.97405,0.98263,0.79883,0.77801,0.41004,0.85787,0.000269771,0.000269771,0.000269771
80,1414.84,0.81486,0.49665,0.88761,0.96703,0.98381,0.98331,0.80816,0.75083,0.40906,0.85454,0.000266102,0.000266102,0.000266102
81,1432.56,0.79184,0.49272,0.88261,0.96479,0.98766,0.98705,0.81181,0.75525,0.40421,0.85858,0.000262432,0.000262432,0.000262432
82,1449.26,0.80148,0.48161,0.88408,0.96585,0.98313,0.98477,0.80761,0.78424,0.40432,0.86608,0.000258762,0.000258762,0.000258762
83,1466.11,0.79671,0.48703,0.87824,0.96813,0.98731,0.98467,0.80478,0.77617,0.40492,0.86355,0.000255093,0.000255093,0.000255093
84,1484.25,0.80309,0.47465,0.88286,0.97673,0.97693,0.98721,0.80047,0.81519,0.41026,0.86917,0.000251423,0.000251423,0.000251423
