epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0813,1.8,4.73051,1.39705,0.944,0.03667,0.07177,0.04401,1.34882,3.6755,1.11251,0.00198726,0.00198726,0.00198726
2,84.281,1.56383,3.41365,1.2524,0.38592,0.37509,0.30644,0.17082,1.47716,2.12504,1.17437,0.00396752,0.00396752,0.00396752
3,120.119,1.52573,2.28689,1.22738,0.48064,0.66732,0.60292,0.3722,1.28521,1.79527,1.12566,0.00592799,0.00592799,0.00592799
4,153.975,1.49594,1.86947,1.21539,0.70183,0.72338,0.75826,0.43559,1.30502,1.30813,1.08978,0.00786865,0.00786865,0.00786865
5,189.026,1.56247,1.80629,1.23631,0.57758,0.45505,0.48063,0.28368,1.49794,2.00743,1.29136,0.00978951,0.00978951,0.00978951
6,222.99,1.60359,1.82627,1.28179,0.70037,0.71195,0.78134,0.49845,1.26321,1.86443,1.1434,0.0097525,0.0097525,0.0097525
7,258.063,1.54372,1.65223,1.26938,0.8148,0.8083,0.90162,0.55957,1.28589,1.0744,1.13531,0.009703,0.009703,0.009703
8,292.899,1.46349,1.49516,1.23135,0.73126,0.74481,0.8148,0.55583,1.23868,1.22837,1.15199,0.0096535,0.0096535,0.0096535
9,326.766,1.41362,1.39337,1.22238,0.8309,0.85712,0.92141,0.60424,1.15036,0.9773,1.07335,0.009604,0.009604,0.009604
10,363.509,1.38055,1.32951,1.19278,0.76233,0.79737,0.89155,0.6057,1.13844,1.10246,1.10687,0.0095545,0.0095545,0.0095545
11,398.7,1.34644,1.26525,1.18319,0.85848,0.88919,0.94376,0.60135,1.21339,0.86101,1.1152,0.009505,0.009505,0.009505
12,434.025,1.33214,1.19461,1.17363,0.86922,0.86362,0.93825,0.63522,1.12461,0.88312,1.06857,0.0094555,0.0094555,0.0094555
13,469.215,1.28741,1.15655,1.1614,0.9171,0.88953,0.95001,0.65967,1.06989,0.77539,1.06977,0.009406,0.009406,0.009406
14,503.458,1.26602,1.0997,1.14506,0.88852,0.91856,0.96281,0.68531,1.01277,0.75572,1.05182,0.0093565,0.0093565,0.0093565
15,537.662,1.26494,1.07091,1.14324,0.82632,0.93248,0.94167,0.65415,1.08345,0.80846,1.05103,0.009307,0.009307,0.009307
16,572.793,1.22408,1.03023,1.12684,0.92203,0.94941,0.96761,0.70553,1.00518,0.74135,1.02973,0.0092575,0.0092575,0.0092575
17,606.961,1.21902,1.00738,1.12868,0.84349,0.89315,0.94802,0.69425,0.9528,0.80529,1.01363,0.009208,0.009208,0.009208
18,643.832,1.20078,0.98966,1.12454,0.91166,0.93251,0.96312,0.69012,0.99586,0.74423,1.00707,0.0091585,0.0091585,0.0091585
19,678.802,1.1757,0.94997,1.104,0.91758,0.90997,0.95877,0.67907,1.04039,0.70182,1.02888,0.009109,0.009109,0.009109
